X (original),Y (original),X (deformed),Y (deformed),U1,U2,E11,E22,E12
0.0,50.0,2.7725333599999997e-36,49.301672995,2.7725333599999997e-36,-0.698327005,0.0468835868,-0.01406499,0.0
0.0,45.0,7.83156214e-33,44.371505678,7.83156214e-33,-0.628494322,0.0468835868,-0.01406499,0.0
0.0,40.0,7.83156214e-33,39.44133836,7.83156214e-33,-0.55866164,0.0468835868,-0.01406499,0.0
0.0,35.0,7.83156214e-33,34.511171073,7.83156214e-33,-0.488828927,0.0468835868,-0.01406499,0.0
0.0,30.0,7.83156214e-33,29.581003785,7.83156214e-33,-0.418996215,0.0468835868,-0.01406499,0.0
0.0,25.0,7.83156214e-33,24.650836498,7.83156214e-33,-0.349163502,0.0468835868,-0.01406499,0.0
0.0,20.0,7.83156214e-33,19.72066918,7.83156214e-33,-0.27933082,0.0468835868,-0.01406499,0.0
0.0,15.0,7.83156214e-33,14.790501893,7.83156214e-33,-0.209498107,0.0468835868,-0.01406499,0.0
0.0,10.0,7.83156214e-33,9.86033459,7.83156214e-33,-0.13966541,0.0468835868,-0.01406499,0.0
0.0,5.0,7.83156214e-33,4.930167295,7.83156214e-33,-0.069832705,0.0468835868,-0.01406499,0.0
0.0,0.0,2.7725333599999997e-36,9.823064749999999e-36,2.7725333599999997e-36,9.823064749999999e-36,0.0468835868,-0.01406499,0.0
5.0,50.0,5.239999995,49.301672995,0.239999995,-0.698327005,0.0468835868,-0.01406499,0.0
5.0,45.0,5.239999995,44.371505678,0.239999995,-0.628494322,0.0468835868,-0.01406499,0.0
5.0,40.0,5.239999995,39.44133836,0.239999995,-0.55866164,0.0468835868,-0.01406499,0.0
5.0,35.0,5.239999995,34.511171073,0.239999995,-0.488828927,0.0468835868,-0.01406499,0.0
5.0,30.0,5.239999995,29.581003785,0.239999995,-0.418996215,0.0468835868,-0.01406499,0.0
5.0,25.0,5.239999995,24.650836498,0.239999995,-0.349163502,0.0468835868,-0.01406499,0.0
5.0,20.0,5.239999995,19.72066918,0.239999995,-0.27933082,0.0468835868,-0.01406499,0.0
5.0,15.0,5.239999995,14.790501893,0.239999995,-0.209498107,0.0468835868,-0.01406499,0.0
5.0,10.0,5.239999995,9.86033459,0.239999995,-0.13966541,0.0468835868,-0.01406499,0.0
5.0,5.0,5.239999995,4.930167295,0.239999995,-0.069832705,0.0468835868,-0.01406499,0.0
5.0,0.0,5.239999995,-1.3338423899999998e-17,0.239999995,-1.3338423899999998e-17,0.0468835868,-0.01406499,0.0
10.0,50.0,10.479999989,49.301672995,0.479999989,-0.698327005,0.0468835868,-0.01406499,0.0
10.0,45.0,10.479999989,44.371505678,0.479999989,-0.628494322,0.0468835868,-0.01406499,0.0
10.0,40.0,10.479999989,39.44133836,0.479999989,-0.55866164,0.0468835868,-0.01406499,0.0
10.0,35.0,10.479999989,34.511171073,0.479999989,-0.488828927,0.0468835868,-0.01406499,0.0
10.0,30.0,10.479999989,29.581003785,0.479999989,-0.418996215,0.0468835868,-0.01406499,0.0
10.0,25.0,10.479999989,24.650836498,0.479999989,-0.349163502,0.0468835868,-0.01406499,0.0
10.0,20.0,10.479999989,19.72066918,0.479999989,-0.27933082,0.0468835868,-0.01406499,0.0
10.0,15.0,10.479999989,14.790501893,0.479999989,-0.209498107,0.0468835868,-0.01406499,0.0
10.0,10.0,10.479999989,9.86033459,0.479999989,-0.13966541,0.0468835868,-0.01406499,0.0
10.0,5.0,10.479999989,4.930167295,0.479999989,-0.069832705,0.0468835868,-0.01406499,0.0
10.0,0.0,10.479999989,4.1702168299999994e-17,0.479999989,4.1702168299999994e-17,0.0468835868,-0.01406499,0.0
15.0,50.0,15.720000029,49.301672995,0.720000029,-0.698327005,0.0468835868,-0.01406499,0.0
15.0,45.0,15.720000029,44.371505678,0.720000029,-0.628494322,0.0468835868,-0.01406499,0.0
15.0,40.0,15.720000029,39.44133836,0.720000029,-0.55866164,0.0468835868,-0.01406499,0.0
15.0,35.0,15.720000029,34.511171073,0.720000029,-0.488828927,0.0468835868,-0.01406499,0.0
15.0,30.0,15.720000029,29.581003785,0.720000029,-0.418996215,0.0468835868,-0.01406499,0.0
15.0,25.0,15.720000029,24.650836498,0.720000029,-0.349163502,0.0468835868,-0.01406499,0.0
15.0,20.0,15.720000029,19.72066918,0.720000029,-0.27933082,0.0468835868,-0.01406499,0.0
15.0,15.0,15.720000029,14.790501893,0.720000029,-0.209498107,0.0468835868,-0.01406499,0.0
15.0,10.0,15.720000029,9.86033459,0.720000029,-0.13966541,0.0468835868,-0.01406499,0.0
15.0,5.0,15.720000029,4.930167295,0.720000029,-0.069832705,0.0468835868,-0.01406499,0.0
15.0,0.0,15.720000029,4.1364777899999994e-17,0.720000029,4.1364777899999994e-17,0.0468835868,-0.01406499,0.0
20.0,50.0,20.959999979,49.301672995,0.959999979,-0.698327005,0.0468835868,-0.01406499,0.0
20.0,45.0,20.959999979,44.371505678,0.959999979,-0.628494322,0.0468835868,-0.01406499,0.0
20.0,40.0,20.959999979,39.44133836,0.959999979,-0.55866164,0.0468835868,-0.01406499,0.0
20.0,35.0,20.959999979,34.511171073,0.959999979,-0.488828927,0.0468835868,-0.01406499,0.0
20.0,30.0,20.959999979,29.581003785,0.959999979,-0.418996215,0.0468835868,-0.01406499,0.0
20.0,25.0,20.959999979,24.650836498,0.959999979,-0.349163502,0.0468835868,-0.01406499,0.0
20.0,20.0,20.959999979,19.72066918,0.959999979,-0.27933082,0.0468835868,-0.01406499,0.0
20.0,15.0,20.959999979,14.790501893,0.959999979,-0.209498107,0.0468835868,-0.01406499,0.0
20.0,10.0,20.959999979,9.86033459,0.959999979,-0.13966541,0.0468835868,-0.01406499,0.0
20.0,5.0,20.959999979,4.930167295,0.959999979,-0.069832705,0.0468835868,-0.01406499,0.0
20.0,0.0,20.959999979,-1.5146595199999998e-17,0.959999979,-1.5146595199999998e-17,0.0468835868,-0.01406499,0.0
25.0,50.0,26.20000005,49.301672995,1.20000005,-0.698327005,0.0468835868,-0.01406499,0.0
25.0,45.0,26.20000005,44.371505678,1.20000005,-0.628494322,0.0468835868,-0.01406499,0.0
25.0,40.0,26.20000005,39.44133836,1.20000005,-0.55866164,0.0468835868,-0.01406499,0.0
25.0,35.0,26.20000005,34.511171073,1.20000005,-0.488828927,0.0468835868,-0.01406499,0.0
25.0,30.0,26.20000005,29.581003785,1.20000005,-0.418996215,0.0468835868,-0.01406499,0.0
25.0,25.0,26.20000005,24.650836498,1.20000005,-0.349163502,0.0468835868,-0.01406499,0.0
25.0,20.0,26.20000005,19.72066918,1.20000005,-0.27933082,0.0468835868,-0.01406499,0.0
25.0,15.0,26.20000005,14.790501893,1.20000005,-0.209498107,0.0468835868,-0.01406499,0.0
25.0,10.0,26.20000005,9.86033459,1.20000005,-0.13966541,0.0468835868,-0.01406499,0.0
25.0,5.0,26.20000005,4.930167295,1.20000005,-0.069832705,0.0468835868,-0.01406499,0.0
25.0,0.0,26.20000005,3.54518328e-17,1.20000005,3.54518328e-17,0.0468835868,-0.01406499,0.0
30.0,50.0,31.44000006,49.301672995,1.44000006,-0.698327005,0.0468835868,-0.01406499,0.0
30.0,45.0,31.44000006,44.371505678,1.44000006,-0.628494322,0.0468835868,-0.01406499,0.0
30.0,40.0,31.44000006,39.44133836,1.44000006,-0.55866164,0.0468835868,-0.01406499,0.0
30.0,35.0,31.44000006,34.511171073,1.44000006,-0.488828927,0.0468835868,-0.01406499,0.0
30.0,30.0,31.44000006,29.581003785,1.44000006,-0.418996215,0.0468835868,-0.01406499,0.0
30.0,25.0,31.44000006,24.650836498,1.44000006,-0.349163502,0.0468835868,-0.01406499,0.0
30.0,20.0,31.44000006,19.72066918,1.44000006,-0.27933082,0.0468835868,-0.01406499,0.0
30.0,15.0,31.44000006,14.790501893,1.44000006,-0.209498107,0.0468835868,-0.01406499,0.0
30.0,10.0,31.44000006,9.86033459,1.44000006,-0.13966541,0.0468835868,-0.01406499,0.0
30.0,5.0,31.44000006,4.930167295,1.44000006,-0.069832705,0.0468835868,-0.01406499,0.0
30.0,0.0,31.44000006,4.2927745599999994e-18,1.44000006,4.2927745599999994e-18,0.0468835868,-0.01406499,0.0
35.0,50.0,36.67999995,49.301672995,1.67999995,-0.698327005,0.0468835868,-0.01406499,0.0
35.0,45.0,36.67999995,44.371505678,1.67999995,-0.628494322,0.0468835868,-0.01406499,0.0
35.0,40.0,36.67999995,39.44133836,1.67999995,-0.55866164,0.0468835868,-0.01406499,0.0
35.0,35.0,36.67999995,34.511171073,1.67999995,-0.488828927,0.0468835868,-0.01406499,0.0
35.0,30.0,36.67999995,29.581003785,1.67999995,-0.418996215,0.0468835868,-0.01406499,0.0
35.0,25.0,36.67999995,24.650836498,1.67999995,-0.349163502,0.0468835868,-0.01406499,0.0
35.0,20.0,36.67999995,19.72066918,1.67999995,-0.27933082,0.0468835868,-0.01406499,0.0
35.0,15.0,36.67999995,14.790501893,1.67999995,-0.209498107,0.0468835868,-0.01406499,0.0
35.0,10.0,36.67999995,9.86033459,1.67999995,-0.13966541,0.0468835868,-0.01406499,0.0
35.0,5.0,36.67999995,4.930167295,1.67999995,-0.069832705,0.0468835868,-0.01406499,0.0
35.0,0.0,36.67999995,4.64095076e-17,1.67999995,4.64095076e-17,0.0468835868,-0.01406499,0.0
40.0,50.0,41.91999996,49.301672995,1.91999996,-0.698327005,0.0468835868,-0.01406499,0.0
40.0,45.0,41.91999996,44.371505678,1.91999996,-0.628494322,0.0468835868,-0.01406499,0.0
40.0,40.0,41.91999996,39.44133836,1.91999996,-0.55866164,0.0468835868,-0.01406499,0.0
40.0,35.0,41.91999996,34.511171073,1.91999996,-0.488828927,0.0468835868,-0.01406499,0.0
40.0,30.0,41.91999996,29.581003785,1.91999996,-0.418996215,0.0468835868,-0.01406499,0.0
40.0,25.0,41.91999996,24.650836498,1.91999996,-0.349163502,0.0468835868,-0.01406499,0.0
40.0,20.0,41.91999996,19.72066918,1.91999996,-0.27933082,0.0468835868,-0.01406499,0.0
40.0,15.0,41.91999996,14.790501893,1.91999996,-0.209498107,0.0468835868,-0.01406499,0.0
40.0,10.0,41.91999996,9.86033459,1.91999996,-0.13966541,0.0468835868,-0.01406499,0.0
40.0,5.0,41.91999996,4.930167295,1.91999996,-0.069832705,0.0468835868,-0.01406499,0.0
40.0,0.0,41.91999996,-7.95456846e-17,1.91999996,-7.95456846e-17,0.0468835868,-0.01406499,0.0
45.0,50.0,47.16000009,49.301672995,2.16000009,-0.698327005,0.0468835868,-0.01406499,0.0
45.0,45.0,47.16000009,44.371505678,2.16000009,-0.628494322,0.0468835868,-0.01406499,0.0
45.0,40.0,47.16000009,39.44133836,2.16000009,-0.55866164,0.0468835868,-0.01406499,0.0
45.0,35.0,47.16000009,34.511171073,2.16000009,-0.488828927,0.0468835868,-0.01406499,0.0
45.0,30.0,47.16000009,29.581003785,2.16000009,-0.418996215,0.0468835868,-0.01406499,0.0
45.0,25.0,47.16000009,24.650836498,2.16000009,-0.349163502,0.0468835868,-0.01406499,0.0
45.0,20.0,47.16000009,19.72066918,2.16000009,-0.27933082,0.0468835868,-0.01406499,0.0
45.0,15.0,47.16000009,14.790501893,2.16000009,-0.209498107,0.0468835868,-0.01406499,0.0
45.0,10.0,47.16000009,9.86033459,2.16000009,-0.13966541,0.0468835868,-0.01406499,0.0
45.0,5.0,47.16000009,4.930167295,2.16000009,-0.069832705,0.0468835868,-0.01406499,0.0
45.0,0.0,47.16000009,-1.1597078e-17,2.16000009,-1.1597078e-17,0.0468835868,-0.01406499,0.0
50.0,50.0,52.4000001,49.301672995,2.4000001,-0.698327005,0.0468835868,-0.01406499,0.0
50.0,45.0,52.4000001,44.371505678,2.4000001,-0.628494322,0.0468835868,-0.01406499,0.0
50.0,40.0,52.4000001,39.44133836,2.4000001,-0.55866164,0.0468835868,-0.01406499,0.0
50.0,35.0,52.4000001,34.511171073,2.4000001,-0.488828927,0.0468835868,-0.01406499,0.0
50.0,30.0,52.4000001,29.581003785,2.4000001,-0.418996215,0.0468835868,-0.01406499,0.0
50.0,25.0,52.4000001,24.650836498,2.4000001,-0.349163502,0.0468835868,-0.01406499,0.0
50.0,20.0,52.4000001,19.72066918,2.4000001,-0.27933082,0.0468835868,-0.01406499,0.0
50.0,15.0,52.4000001,14.790501893,2.4000001,-0.209498107,0.0468835868,-0.01406499,0.0
50.0,10.0,52.4000001,9.86033459,2.4000001,-0.13966541,0.0468835868,-0.01406499,0.0
50.0,5.0,52.4000001,4.930167295,2.4000001,-0.069832705,0.0468835868,-0.01406499,0.0
50.0,0.0,52.4000001,1.13971155e-16,2.4000001,1.13971155e-16,0.0468835868,-0.01406499,0.0
