X (original),Y (original),X (deformed),Y (deformed),U1,U2,E11,E22,E12
0.0,50.0,1.6041487299999997e-36,49.472299099,1.6041487299999997e-36,-0.527700901,0.0353671424,-0.0106101064,0.0
0.0,45.0,5.97576071e-33,44.525069207,5.97576071e-33,-0.474930793,0.0353671424,-0.0106101064,0.0
0.0,40.0,5.97576071e-33,39.577839315,5.97576071e-33,-0.422160685,0.0353671424,-0.0106101064,0.0
0.0,35.0,5.97576071e-33,34.630609393,5.97576071e-33,-0.369390607,0.0353671424,-0.0106101064,0.0
0.0,30.0,5.97576071e-33,29.683379471,5.97576071e-33,-0.316620529,0.0353671424,-0.0106101064,0.0
0.0,25.0,5.97576071e-33,24.736149549,5.97576071e-33,-0.263850451,0.0353671424,-0.0106101064,0.0
0.0,20.0,5.97576071e-33,19.788919657,5.97576071e-33,-0.211080343,0.0353671424,-0.0106101064,0.0
0.0,15.0,5.97576071e-33,14.841689736,5.97576071e-33,-0.158310264,0.0353671424,-0.0106101064,0.0
0.0,10.0,5.97576071e-33,9.894459829,5.97576071e-33,-0.105540171,0.0353671424,-0.0106101064,0.0
0.0,5.0,5.97576071e-33,4.9472299144,5.97576071e-33,-0.0527700856,0.0353671424,-0.0106101064,0.0
0.0,0.0,1.6041487299999997e-36,5.598910659999999e-36,1.6041487299999997e-36,5.598910659999999e-36,0.0353671424,-0.0106101064,0.0
5.0,50.0,5.180000007,49.472299099,0.180000007,-0.527700901,0.0353671424,-0.0106101064,0.0
5.0,45.0,5.180000007,44.525069207,0.180000007,-0.474930793,0.0353671424,-0.0106101064,0.0
5.0,40.0,5.180000007,39.577839315,0.180000007,-0.422160685,0.0353671424,-0.0106101064,0.0
5.0,35.0,5.180000007,34.630609393,0.180000007,-0.369390607,0.0353671424,-0.0106101064,0.0
5.0,30.0,5.180000007,29.683379471,0.180000007,-0.316620529,0.0353671424,-0.0106101064,0.0
5.0,25.0,5.180000007,24.736149549,0.180000007,-0.263850451,0.0353671424,-0.0106101064,0.0
5.0,20.0,5.180000007,19.788919657,0.180000007,-0.211080343,0.0353671424,-0.0106101064,0.0
5.0,15.0,5.180000007,14.841689736,0.180000007,-0.158310264,0.0353671424,-0.0106101064,0.0
5.0,10.0,5.180000007,9.894459829,0.180000007,-0.105540171,0.0353671424,-0.0106101064,0.0
5.0,5.0,5.180000007,4.9472299144,0.180000007,-0.0527700856,0.0353671424,-0.0106101064,0.0
5.0,0.0,5.180000007,-7.216514909999999e-17,0.180000007,-7.216514909999999e-17,0.0353671424,-0.0106101064,0.0
