X (original),Y (original),X (deformed),Y (deformed),U1,U2,E11,E22,E12
0.0,50.0,4.21282639e-36,49.13356936,4.21282639e-36,-0.86643064,0.0582689084,-0.0174805094,0.0
0.0,45.0,9.62397943e-33,44.22021246,9.62397943e-33,-0.77978754,0.0582689084,-0.0174805094,0.0
0.0,40.0,9.62397943e-33,39.3068555,9.62397943e-33,-0.6931445,0.0582689084,-0.0174805094,0.0
0.0,35.0,9.62397943e-33,34.39349854,9.62397943e-33,-0.60650146,0.0582689084,-0.0174805094,0.0
0.0,30.0,9.62397943e-33,29.48014164,9.62397943e-33,-0.51985836,0.0582689084,-0.0174805094,0.0
0.0,25.0,9.62397943e-33,24.56678468,9.62397943e-33,-0.43321532,0.0582689084,-0.0174805094,0.0
0.0,20.0,9.62397943e-33,19.65342775,9.62397943e-33,-0.34657225,0.0582689084,-0.0174805094,0.0
0.0,15.0,9.62397943e-33,14.74007082,9.62397943e-33,-0.25992918,0.0582689084,-0.0174805094,0.0
0.0,10.0,9.62397943e-33,9.826713875,9.62397943e-33,-0.173286125,0.0582689084,-0.0174805094,0.0
0.0,5.0,9.62397943e-33,4.9133569375,9.62397943e-33,-0.0866430625,0.0582689084,-0.0174805094,0.0
0.0,0.0,4.21282639e-36,1.51489826e-35,4.21282639e-36,1.51489826e-35,0.0582689084,-0.0174805094,0.0
5.0,50.0,5.300000012,49.13356936,0.300000012,-0.86643064,0.0582689084,-0.0174805094,0.0
5.0,45.0,5.300000012,44.22021246,0.300000012,-0.77978754,0.0582689084,-0.0174805094,0.0
5.0,40.0,5.300000012,39.3068555,0.300000012,-0.6931445,0.0582689084,-0.0174805094,0.0
5.0,35.0,5.300000012,34.39349854,0.300000012,-0.60650146,0.0582689084,-0.0174805094,0.0
5.0,30.0,5.300000012,29.48014164,0.300000012,-0.51985836,0.0582689084,-0.0174805094,0.0
5.0,25.0,5.300000012,24.56678468,0.300000012,-0.43321532,0.0582689084,-0.0174805094,0.0
5.0,20.0,5.300000012,19.65342775,0.300000012,-0.34657225,0.0582689084,-0.0174805094,0.0
5.0,15.0,5.300000012,14.74007082,0.300000012,-0.25992918,0.0582689084,-0.0174805094,0.0
