X (original),Y (original),X (deformed),Y (deformed),U1,U2,E11,E22,E12
0.0,50.0,2.3516231199999998e-36,49.358264804,2.3516231199999998e-36,-0.641735196,0.0430594906,-0.0129177803,0.0
0.0,45.0,7.220136829999999e-33,44.422438323,7.220136829999999e-33,-0.577561677,0.0430594906,-0.0129177803,0.0
0.0,40.0,7.220136829999999e-33,39.486611843,7.220136829999999e-33,-0.513388157,0.0430594906,-0.0129177803,0.0
0.0,35.0,7.220136829999999e-33,34.550785363,7.220136829999999e-33,-0.449214637,0.0430594906,-0.0129177803,0.0
0.0,30.0,7.220136829999999e-33,29.614958882,7.220136829999999e-33,-0.385041118,0.0430594906,-0.0129177803,0.0
0.0,25.0,7.220136829999999e-33,24.679132402,7.220136829999999e-33,-0.320867598,0.0430594906,-0.0129177803,0.0
0.0,20.0,7.220136829999999e-33,19.743305922,7.220136829999999e-33,-0.256694078,0.0430594906,-0.0129177803,0.0
0.0,15.0,7.220136829999999e-33,14.807479441,7.220136829999999e-33,-0.192520559,0.0430594906,-0.0129177803,0.0
0.0,10.0,7.220136829999999e-33,9.871652961,7.220136829999999e-33,-0.128347039,0.0430594906,-0.0129177803,0.0
0.0,5.0,7.220136829999999e-33,4.9358264804,7.220136829999999e-33,-0.0641735196,0.0430594906,-0.0129177803,0.0
0.0,0.0,2.3516231199999998e-36,8.29040206e-36,2.3516231199999998e-36,8.29040206e-36,0.0430594906,-0.0129177803,0.0
5.0,50.0,5.219999999,49.358264804,0.219999999,-0.641735196,0.0430594906,-0.0129177803,0.0
5.0,45.0,5.219999999,44.422438323,0.219999999,-0.577561677,0.0430594906,-0.0129177803,0.0
5.0,40.0,5.219999999,39.486611843,0.219999999,-0.513388157,0.0430594906,-0.0129177803,0.0
5.0,35.0,5.219999999,34.550785363,0.219999999,-0.449214637,0.0430594906,-0.0129177803,0.0
5.0,30.0,5.219999999,29.614958882,0.219999999,-0.385041118,0.0430594906,-0.0129177803,0.0
5.0,25.0,5.219999999,24.679132402,0.219999999,-0.320867598,0.0430594906,-0.0129177803,0.0
