X (original),Y (original),X (deformed),Y (deformed),U1,U2,E11,E22,E12
0.0,50.0,3.22363936e-36,49.245361388,3.22363936e-36,-0.754638612,0.0506931134,-0.0152078271,0.0
0.0,45.0,8.43594696e-33,44.320825279,8.43594696e-33,-0.679174721,0.0506931134,-0.0152078271,0.0
0.0,40.0,8.43594696e-33,39.39628911,8.43594696e-33,-0.60371089,0.0506931134,-0.0152078271,0.0
0.0,35.0,8.43594696e-33,34.471753001,8.43594696e-33,-0.528246999,0.0506931134,-0.0152078271,0.0
0.0,30.0,8.43594696e-33,29.547216862,8.43594696e-33,-0.452783138,0.0506931134,-0.0152078271,0.0
0.0,25.0,8.43594696e-33,24.622680694,8.43594696e-33,-0.377319306,0.0506931134,-0.0152078271,0.0
0.0,20.0,8.43594696e-33,19.698144555,8.43594696e-33,-0.301855445,0.0506931134,-0.0152078271,0.0
0.0,15.0,8.43594696e-33,14.773608431,8.43594696e-33,-0.226391569,0.0506931134,-0.0152078271,0.0
0.0,10.0,8.43594696e-33,9.849072278,8.43594696e-33,-0.150927722,0.0506931134,-0.0152078271,0.0
0.0,5.0,8.43594696e-33,4.9245361388,8.43594696e-33,-0.0754638612,0.0506931134,-0.0152078271,0.0
0.0,0.0,3.22363936e-36,1.14781305e-35,3.22363936e-36,1.14781305e-35,0.0506931134,-0.0152078271,0.0
5.0,50.0,5.25999999,49.245361388,0.25999999,-0.754638612,0.0506931134,-0.0152078271,0.0
5.0,45.0,5.25999999,44.320825279,0.25999999,-0.679174721,0.0506931134,-0.0152078271,0.0
5.0,40.0,5.25999999,39.39628911,0.25999999,-0.60371089,0.0506931134,-0.0152078271,0.0
5.0,35.0,5.25999999,34.471753001,0.25999999,-0.528246999,0.0506931134,-0.0152078271,0.0
5.0,30.0,5.25999999,29.547216862,0.25999999,-0.452783138,0.0506931134,-0.0152078271,0.0
5.0,25.0,5.25999999,24.622680694,0.25999999,-0.377319306,0.0506931134,-0.0152078271,0.0
5.0,20.0,5.25999999,19.698144555,0.25999999,-0.301855445,0.0506931134,-0.0152078271,0.0
5.0,15.0,5.25999999,14.773608431,0.25999999,-0.226391569,0.0506931134,-0.0152078271,0.0
5.0,10.0,5.25999999,9.849072278,0.25999999,-0.150927722,0.0506931134,-0.0152078271,0.0
5.0,5.0,5.25999999,4.9245361388,0.25999999,-0.0754638612,0.0506931134,-0.0152078271,0.0
5.0,0.0,5.25999999,-7.62976905e-17,0.25999999,-7.62976905e-17,0.0506931134,-0.0152078271,0.0
10.0,50.0,10.519999981,49.245361388,0.519999981,-0.754638612,0.0506931134,-0.0152078271,0.0
10.0,45.0,10.519999981,44.320825279,0.519999981,-0.679174721,0.0506931134,-0.0152078271,0.0
10.0,40.0,10.519999981,39.39628911,0.519999981,-0.60371089,0.0506931134,-0.0152078271,0.0
10.0,35.0,10.519999981,34.471753001,0.519999981,-0.528246999,0.0506931134,-0.0152078271,0.0
10.0,30.0,10.519999981,29.547216862,0.519999981,-0.452783138,0.0506931134,-0.0152078271,0.0
10.0,25.0,10.519999981,24.622680694,0.519999981,-0.377319306,0.0506931134,-0.0152078271,0.0
10.0,20.0,10.519999981,19.698144555,0.519999981,-0.301855445,0.0506931134,-0.0152078271,0.0
10.0,15.0,10.519999981,14.773608431,0.519999981,-0.226391569,0.0506931134,-0.0152078271,0.0
10.0,10.0,10.519999981,9.849072278,0.519999981,-0.150927722,0.0506931134,-0.0152078271,0.0
10.0,5.0,10.519999981,4.9245361388,0.519999981,-0.0754638612,0.0506931134,-0.0152078271,0.0
10.0,0.0,10.519999981,9.542580539999999e-17,0.519999981,9.542580539999999e-17,0.0506931134,-0.0152078271,0.0
15.0,50.0,15.779999971,49.245361388,0.779999971,-0.754638612,0.0506931134,-0.0152078271,0.0
15.0,45.0,15.779999971,44.320825279,0.779999971,-0.679174721,0.0506931134,-0.0152078271,0.0
15.0,40.0,15.779999971,39.39628911,0.779999971,-0.60371089,0.0506931134,-0.0152078271,0.0
15.0,35.0,15.779999971,34.471753001,0.779999971,-0.528246999,0.0506931134,-0.0152078271,0.0
15.0,30.0,15.779999971,29.547216862,0.779999971,-0.452783138,0.0506931134,-0.0152078271,0.0
15.0,25.0,15.779999971,24.622680694,0.779999971,-0.377319306,0.0506931134,-0.0152078271,0.0
15.0,20.0,15.779999971,19.698144555,0.779999971,-0.301855445,0.0506931134,-0.0152078271,0.0
15.0,15.0,15.779999971,14.773608431,0.779999971,-0.226391569,0.0506931134,-0.0152078271,0.0
15.0,10.0,15.779999971,9.849072278,0.779999971,-0.150927722,0.0506931134,-0.0152078271,0.0
15.0,5.0,15.779999971,4.9245361388,0.779999971,-0.0754638612,0.0506931134,-0.0152078271,0.0
15.0,0.0,15.779999971,-4.9045927399999995e-17,0.779999971,-4.9045927399999995e-17,0.0506931134,-0.0152078271,0.0
20.0,50.0,21.03999996,49.245361388,1.03999996,-0.754638612,0.0506931134,-0.0152078271,0.0
20.0,45.0,21.03999996,44.320825279,1.03999996,-0.679174721,0.0506931134,-0.0152078271,0.0
20.0,40.0,21.03999996,39.39628911,1.03999996,-0.60371089,0.0506931134,-0.0152078271,0.0
20.0,35.0,21.03999996,34.471753001,1.03999996,-0.528246999,0.0506931134,-0.0152078271,0.0
20.0,30.0,21.03999996,29.547216862,1.03999996,-0.452783138,0.0506931134,-0.0152078271,0.0
20.0,25.0,21.03999996,24.622680694,1.03999996,-0.377319306,0.0506931134,-0.0152078271,0.0
20.0,20.0,21.03999996,19.698144555,1.03999996,-0.301855445,0.0506931134,-0.0152078271,0.0
20.0,15.0,21.03999996,14.773608431,1.03999996,-0.226391569,0.0506931134,-0.0152078271,0.0
20.0,10.0,21.03999996,9.849072278,1.03999996,-0.150927722,0.0506931134,-0.0152078271,0.0
20.0,5.0,21.03999996,4.9245361388,1.03999996,-0.0754638612,0.0506931134,-0.0152078271,0.0
20.0,0.0,21.03999996,8.379755839999999e-17,1.03999996,8.379755839999999e-17,0.0506931134,-0.0152078271,0.0
25.0,50.0,26.29999995,49.245361388,1.29999995,-0.754638612,0.0506931134,-0.0152078271,0.0
25.0,45.0,26.29999995,44.320825279,1.29999995,-0.679174721,0.0506931134,-0.0152078271,0.0
25.0,40.0,26.29999995,39.39628911,1.29999995,-0.60371089,0.0506931134,-0.0152078271,0.0
25.0,35.0,26.29999995,34.471753001,1.29999995,-0.528246999,0.0506931134,-0.0152078271,0.0
25.0,30.0,26.29999995,29.547216862,1.29999995,-0.452783138,0.0506931134,-0.0152078271,0.0
25.0,25.0,26.29999995,24.622680694,1.29999995,-0.377319306,0.0506931134,-0.0152078271,0.0
25.0,20.0,26.29999995,19.698144555,1.29999995,-0.301855445,0.0506931134,-0.0152078271,0.0
25.0,15.0,26.29999995,14.773608431,1.29999995,-0.226391569,0.0506931134,-0.0152078271,0.0
25.0,10.0,26.29999995,9.849072278,1.29999995,-0.150927722,0.0506931134,-0.0152078271,0.0
25.0,5.0,26.29999995,4.9245361388,1.29999995,-0.0754638612,0.0506931134,-0.0152078271,0.0
25.0,0.0,26.29999995,-1.11268349e-17,1.29999995,-1.11268349e-17,0.0506931134,-0.0152078271,0.0
30.0,50.0,31.55999994,49.245361388,1.55999994,-0.754638612,0.0506931134,-0.0152078271,0.0
30.0,45.0,31.55999994,44.320825279,1.55999994,-0.679174721,0.0506931134,-0.0152078271,0.0
30.0,40.0,31.55999994,39.39628911,1.55999994,-0.60371089,0.0506931134,-0.0152078271,0.0
30.0,35.0,31.55999994,34.471753001,1.55999994,-0.528246999,0.0506931134,-0.0152078271,0.0
30.0,30.0,31.55999994,29.547216862,1.55999994,-0.452783138,0.0506931134,-0.0152078271,0.0
