X (original),Y (original),X (deformed),Y (deformed),U1,U2,E11,E22,E12
0.0,50.0,4.7491578899999996e-36,49.078084111,4.7491578899999996e-36,-0.921915889,0.0620353892,-0.0186104216,0.0
0.0,45.0,1.02078181e-32,44.170275748,1.02078181e-32,-0.829724252,0.0620353892,-0.0186104216,0.0
0.0,40.0,1.02078181e-32,39.262467325,1.02078181e-32,-0.737532675,0.0620353892,-0.0186104216,0.0
0.0,35.0,1.02078181e-32,34.354658902,1.02078181e-32,-0.645341098,0.0620353892,-0.0186104216,0.0
0.0,30.0,1.02078181e-32,29.446850479,1.02078181e-32,-0.553149521,0.0620353892,-0.0186104216,0.0
0.0,25.0,1.02078181e-32,24.539042056,1.02078181e-32,-0.460957944,0.0620353892,-0.0186104216,0.0
0.0,20.0,1.02078181e-32,19.631233662,1.02078181e-32,-0.368766338,0.0620353892,-0.0186104216,0.0
0.0,15.0,1.02078181e-32,14.723425239,1.02078181e-32,-0.276574761,0.0620353892,-0.0186104216,0.0
0.0,10.0,1.02078181e-32,9.815616831,1.02078181e-32,-0.184383169,0.0620353892,-0.0186104216,0.0
0.0,5.0,1.02078181e-32,4.9078084156,1.02078181e-32,-0.0921915844,0.0620353892,-0.0186104216,0.0
0.0,0.0,4.7491578899999996e-36,1.71615862e-35,4.7491578899999996e-36,1.71615862e-35,0.0620353892,-0.0186104216,0.0
5.0,50.0,5.319999993,49.078084111,0.319999993,-0.921915889,0.0620353892,-0.0186104216,0.0
5.0,45.0,5.319999993,44.170275748,0.319999993,-0.829724252,0.0620353892,-0.0186104216,0.0
5.0,40.0,5.319999993,39.262467325,0.319999993,-0.737532675,0.0620353892,-0.0186104216,0.0
5.0,35.0,5.319999993,34.354658902,0.319999993,-0.645341098,0.0620353892,-0.0186104216,0.0
5.0,30.0,5.319999993,29.446850479,0.319999993,-0.553149521,0.0620353892,-0.0186104216,0.0
5.0,25.0,5.319999993,24.539042056,0.319999993,-0.460957944,0.0620353892,-0.0186104216,0.0
5.0,20.0,5.319999993,19.631233662,0.319999993,-0.368766338,0.0620353892,-0.0186104216,0.0
5.0,15.0,5.319999993,14.723425239,0.319999993,-0.276574761,0.0620353892,-0.0186104216,0.0
5.0,10.0,5.319999993,9.815616831,0.319999993,-0.184383169,0.0620353892,-0.0186104216,0.0
5.0,5.0,5.319999993,4.9078084156,0.319999993,-0.0921915844,0.0620353892,-0.0186104216,0.0
5.0,0.0,5.319999993,4.8950871099999993e-17,0.319999993,4.8950871099999993e-17,0.0620353892,-0.0186104216,0.0
10.0,50.0,10.639999986,49.078084111,0.639999986,-0.921915889,0.0620353892,-0.0186104216,0.0
10.0,45.0,10.639999986,44.170275748,0.639999986,-0.829724252,0.0620353892,-0.0186104216,0.0
10.0,40.0,10.639999986,39.262467325,0.639999986,-0.737532675,0.0620353892,-0.0186104216,0.0
10.0,35.0,10.639999986,34.354658902,0.639999986,-0.645341098,0.0620353892,-0.0186104216,0.0
10.0,30.0,10.639999986,29.446850479,0.639999986,-0.553149521,0.0620353892,-0.0186104216,0.0
10.0,25.0,10.639999986,24.539042056,0.639999986,-0.460957944,0.0620353892,-0.0186104216,0.0
10.0,20.0,10.639999986,19.631233662,0.639999986,-0.368766338,0.0620353892,-0.0186104216,0.0
10.0,15.0,10.639999986,14.723425239,0.639999986,-0.276574761,0.0620353892,-0.0186104216,0.0
10.0,10.0,10.639999986,9.815616831,0.639999986,-0.184383169,0.0620353892,-0.0186104216,0.0
10.0,5.0,10.639999986,4.9078084156,0.639999986,-0.0921915844,0.0620353892,-0.0186104216,0.0
10.0,0.0,10.639999986,1.32477276e-17,0.639999986,1.32477276e-17,0.0620353892,-0.0186104216,0.0
15.0,50.0,15.959999979,49.078084111,0.959999979,-0.921915889,0.0620353892,-0.0186104216,0.0
15.0,45.0,15.959999979,44.170275748,0.959999979,-0.829724252,0.0620353892,-0.0186104216,0.0
15.0,40.0,15.959999979,39.262467325,0.959999979,-0.737532675,0.0620353892,-0.0186104216,0.0
15.0,35.0,15.959999979,34.354658902,0.959999979,-0.645341098,0.0620353892,-0.0186104216,0.0
15.0,30.0,15.959999979,29.446850479,0.959999979,-0.553149521,0.0620353892,-0.0186104216,0.0
15.0,25.0,15.959999979,24.539042056,0.959999979,-0.460957944,0.0620353892,-0.0186104216,0.0
15.0,20.0,15.959999979,19.631233662,0.959999979,-0.368766338,0.0620353892,-0.0186104216,0.0
15.0,15.0,15.959999979,14.723425239,0.959999979,-0.276574761,0.0620353892,-0.0186104216,0.0
15.0,10.0,15.959999979,9.815616831,0.959999979,-0.184383169,0.0620353892,-0.0186104216,0.0
15.0,5.0,15.959999979,4.9078084156,0.959999979,-0.0921915844,0.0620353892,-0.0186104216,0.0
15.0,0.0,15.959999979,-1.5123545e-17,0.959999979,-1.5123545e-17,0.0620353892,-0.0186104216,0.0
20.0,50.0,21.27999997,49.078084111,1.27999997,-0.921915889,0.0620353892,-0.0186104216,0.0
20.0,45.0,21.27999997,44.170275748,1.27999997,-0.829724252,0.0620353892,-0.0186104216,0.0
20.0,40.0,21.27999997,39.262467325,1.27999997,-0.737532675,0.0620353892,-0.0186104216,0.0
20.0,35.0,21.27999997,34.354658902,1.27999997,-0.645341098,0.0620353892,-0.0186104216,0.0
20.0,30.0,21.27999997,29.446850479,1.27999997,-0.553149521,0.0620353892,-0.0186104216,0.0
20.0,25.0,21.27999997,24.539042056,1.27999997,-0.460957944,0.0620353892,-0.0186104216,0.0
20.0,20.0,21.27999997,19.631233662,1.27999997,-0.368766338,0.0620353892,-0.0186104216,0.0
20.0,15.0,21.27999997,14.723425239,1.27999997,-0.276574761,0.0620353892,-0.0186104216,0.0
20.0,10.0,21.27999997,9.815616831,1.27999997,-0.184383169,0.0620353892,-0.0186104216,0.0
20.0,5.0,21.27999997,4.9078084156,1.27999997,-0.0921915844,0.0620353892,-0.0186104216,0.0
20.0,0.0,21.27999997,1.5499042e-17,1.27999997,1.5499042e-17,0.0620353892,-0.0186104216,0.0
25.0,50.0,26.60000002,49.078084111,1.60000002,-0.921915889,0.0620353892,-0.0186104216,0.0
25.0,45.0,26.60000002,44.170275748,1.60000002,-0.829724252,0.0620353892,-0.0186104216,0.0
25.0,40.0,26.60000002,39.262467325,1.60000002,-0.737532675,0.0620353892,-0.0186104216,0.0
25.0,35.0,26.60000002,34.354658902,1.60000002,-0.645341098,0.0620353892,-0.0186104216,0.0
25.0,30.0,26.60000002,29.446850479,1.60000002,-0.553149521,0.0620353892,-0.0186104216,0.0
25.0,25.0,26.60000002,24.539042056,1.60000002,-0.460957944,0.0620353892,-0.0186104216,0.0
25.0,20.0,26.60000002,19.631233662,1.60000002,-0.368766338,0.0620353892,-0.0186104216,0.0
25.0,15.0,26.60000002,14.723425239,1.60000002,-0.276574761,0.0620353892,-0.0186104216,0.0
25.0,10.0,26.60000002,9.815616831,1.60000002,-0.184383169,0.0620353892,-0.0186104216,0.0
25.0,5.0,26.60000002,4.9078084156,1.60000002,-0.0921915844,0.0620353892,-0.0186104216,0.0
25.0,0.0,26.60000002,-2.3741915e-17,1.60000002,-2.3741915e-17,0.0620353892,-0.0186104216,0.0
