X (original),Y (original),X (deformed),Y (deformed),U1,U2,E11,E22,E12
0.0,50.0,9.88981749e-37,49.587484479,9.88981749e-37,-0.412515521,0.0276151672,-0.00828453247,0.0
0.0,45.0,4.70200348e-33,44.628736049,4.70200348e-33,-0.371263951,0.0276151672,-0.00828453247,0.0
0.0,40.0,4.70200348e-33,39.669987589,4.70200348e-33,-0.330012411,0.0276151672,-0.00828453247,0.0
0.0,35.0,4.70200348e-33,34.711239129,4.70200348e-33,-0.288760871,0.0276151672,-0.00828453247,0.0
0.0,30.0,4.70200348e-33,29.752490699,4.70200348e-33,-0.247509301,0.0276151672,-0.00828453247,0.0
0.0,25.0,4.70200348e-33,24.793742239,4.70200348e-33,-0.206257761,0.0276151672,-0.00828453247,0.0
0.0,20.0,4.70200348e-33,19.834993795,4.70200348e-33,-0.165006205,0.0276151672,-0.00828453247,0.0
0.0,15.0,4.70200348e-33,14.87624535,4.70200348e-33,-0.12375465,0.0276151672,-0.00828453247,0.0
0.0,10.0,4.70200348e-33,9.9174968973,4.70200348e-33,-0.0825031027,0.0276151672,-0.00828453247,0.0
0.0,5.0,4.70200348e-33,4.9587484486,4.70200348e-33,-0.0412515514,0.0276151672,-0.00828453247,0.0
0.0,0.0,9.88981749e-37,3.4171633e-36,9.88981749e-37,3.4171633e-36,0.0276151672,-0.00828453247,0.0
5.0,50.0,5.140000001,49.587484479,0.140000001,-0.412515521,0.0276151672,-0.00828453247,0.0
5.0,45.0,5.140000001,44.628736049,0.140000001,-0.371263951,0.0276151672,-0.00828453247,0.0
5.0,40.0,5.140000001,39.669987589,0.140000001,-0.330012411,0.0276151672,-0.00828453247,0.0
5.0,35.0,5.140000001,34.711239129,0.140000001,-0.288760871,0.0276151672,-0.00828453247,0.0
5.0,30.0,5.140000001,29.752490699,0.140000001,-0.247509301,0.0276151672,-0.00828453247,0.0
5.0,25.0,5.140000001,24.793742239,0.140000001,-0.206257761,0.0276151672,-0.00828453247,0.0
5.0,20.0,5.140000001,19.834993795,0.140000001,-0.165006205,0.0276151672,-0.00828453247,0.0
5.0,15.0,5.140000001,14.87624535,0.140000001,-0.12375465,0.0276151672,-0.00828453247,0.0
5.0,10.0,5.140000001,9.9174968973,0.140000001,-0.0825031027,0.0276151672,-0.00828453247,0.0
5.0,5.0,5.140000001,4.9587484486,0.140000001,-0.0412515514,0.0276151672,-0.00828453247,0.0
5.0,0.0,5.140000001,-3.17709585e-17,0.140000001,-3.17709585e-17,0.0276151672,-0.00828453247,0.0
10.0,50.0,10.280000001,49.587484479,0.280000001,-0.412515521,0.0276151672,-0.00828453247,0.0
10.0,45.0,10.280000001,44.628736049,0.280000001,-0.371263951,0.0276151672,-0.00828453247,0.0
10.0,40.0,10.280000001,39.669987589,0.280000001,-0.330012411,0.0276151672,-0.00828453247,0.0
10.0,35.0,10.280000001,34.711239129,0.280000001,-0.288760871,0.0276151672,-0.00828453247,0.0
10.0,30.0,10.280000001,29.752490699,0.280000001,-0.247509301,0.0276151672,-0.00828453247,0.0
10.0,25.0,10.280000001,24.793742239,0.280000001,-0.206257761,0.0276151672,-0.00828453247,0.0
10.0,20.0,10.280000001,19.834993795,0.280000001,-0.165006205,0.0276151672,-0.00828453247,0.0
10.0,15.0,10.280000001,14.87624535,0.280000001,-0.12375465,0.0276151672,-0.00828453247,0.0
10.0,10.0,10.280000001,9.9174968973,0.280000001,-0.0825031027,0.0276151672,-0.00828453247,0.0
10.0,5.0,10.280000001,4.9587484486,0.280000001,-0.0412515514,0.0276151672,-0.00828453247,0.0
10.0,0.0,10.280000001,-1.0718297e-17,0.280000001,-1.0718297e-17,0.0276151672,-0.00828453247,0.0
15.0,50.0,15.419999987,49.587484479,0.419999987,-0.412515521,0.0276151672,-0.00828453247,0.0
15.0,45.0,15.419999987,44.628736049,0.419999987,-0.371263951,0.0276151672,-0.00828453247,0.0
15.0,40.0,15.419999987,39.669987589,0.419999987,-0.330012411,0.0276151672,-0.00828453247,0.0
15.0,35.0,15.419999987,34.711239129,0.419999987,-0.288760871,0.0276151672,-0.00828453247,0.0
15.0,30.0,15.419999987,29.752490699,0.419999987,-0.247509301,0.0276151672,-0.00828453247,0.0
15.0,25.0,15.419999987,24.793742239,0.419999987,-0.206257761,0.0276151672,-0.00828453247,0.0
15.0,20.0,15.419999987,19.834993795,0.419999987,-0.165006205,0.0276151672,-0.00828453247,0.0
15.0,15.0,15.419999987,14.87624535,0.419999987,-0.12375465,0.0276151672,-0.00828453247,0.0
15.0,10.0,15.419999987,9.9174968973,0.419999987,-0.0825031027,0.0276151672,-0.00828453247,0.0
15.0,5.0,15.419999987,4.9587484486,0.419999987,-0.0412515514,0.0276151672,-0.00828453247,0.0
15.0,0.0,15.419999987,-8.99973747e-18,0.419999987,-8.99973747e-18,0.0276151672,-0.00828453247,0.0
20.0,50.0,20.560000002,49.587484479,0.560000002,-0.412515521,0.0276151672,-0.00828453247,0.0
20.0,45.0,20.560000002,44.628736049,0.560000002,-0.371263951,0.0276151672,-0.00828453247,0.0
20.0,40.0,20.560000002,39.669987589,0.560000002,-0.330012411,0.0276151672,-0.00828453247,0.0
20.0,35.0,20.560000002,34.711239129,0.560000002,-0.288760871,0.0276151672,-0.00828453247,0.0
20.0,30.0,20.560000002,29.752490699,0.560000002,-0.247509301,0.0276151672,-0.00828453247,0.0
20.0,25.0,20.560000002,24.793742239,0.560000002,-0.206257761,0.0276151672,-0.00828453247,0.0
20.0,20.0,20.560000002,19.834993795,0.560000002,-0.165006205,0.0276151672,-0.00828453247,0.0
20.0,15.0,20.560000002,14.87624535,0.560000002,-0.12375465,0.0276151672,-0.00828453247,0.0
20.0,10.0,20.560000002,9.9174968973,0.560000002,-0.0825031027,0.0276151672,-0.00828453247,0.0
